series,lag,correlation
tone_mean_x100_winsor,-10,0.04930679188105588
tone_mean_x100_winsor,-9,0.06120603526544926
tone_mean_x100_winsor,-8,0.06155179104022832
tone_mean_x100_winsor,-7,0.045210301068695044
tone_mean_x100_winsor,-6,0.0551065214738085
tone_mean_x100_winsor,-5,0.059991278094545526
tone_mean_x100_winsor,-4,0.040190675659785284
tone_mean_x100_winsor,-3,0.07985410014454694
tone_mean_x100_winsor,-2,0.048289410716924844
tone_mean_x100_winsor,-1,0.04540893541932229
tone_mean_x100_winsor,0,0.043206119253775
tone_mean_x100_winsor,1,0.05027085002096095
tone_mean_x100_winsor,2,0.04243600911837288
tone_mean_x100_winsor,3,0.04862238409133588
tone_mean_x100_winsor,4,0.07129308650100848
tone_mean_x100_winsor,5,0.06708578639427998
tone_mean_x100_winsor,6,0.06603995692515215
tone_mean_x100_winsor,7,0.05772961473886218
tone_mean_x100_winsor,8,0.05567841928218694
tone_mean_x100_winsor,9,0.069405399683594
tone_mean_x100_winsor,10,0.07277208964845232
abs_tone_mean_x100_winsor,-10,-0.017714019532616625
abs_tone_mean_x100_winsor,-9,-0.015072143420837491
abs_tone_mean_x100_winsor,-8,0.004883606050140598
abs_tone_mean_x100_winsor,-7,-0.022409582656002246
abs_tone_mean_x100_winsor,-6,-0.029785206176961027
abs_tone_mean_x100_winsor,-5,-0.002082039852005874
abs_tone_mean_x100_winsor,-4,-0.008751696945908752
abs_tone_mean_x100_winsor,-3,-0.02484396728522261
abs_tone_mean_x100_winsor,-2,0.0029276459024930477
abs_tone_mean_x100_winsor,-1,-0.034055238256756507
abs_tone_mean_x100_winsor,0,0.004831982885616244
abs_tone_mean_x100_winsor,1,-0.00035655043686707845
abs_tone_mean_x100_winsor,2,-0.010559858454105503
abs_tone_mean_x100_winsor,3,-0.011680798596809316
abs_tone_mean_x100_winsor,4,-0.026647800778636398
abs_tone_mean_x100_winsor,5,-0.027348417579224956
abs_tone_mean_x100_winsor,6,-0.03243181252165426
abs_tone_mean_x100_winsor,7,-0.020872522109228648
abs_tone_mean_x100_winsor,8,-0.025269269011191416
abs_tone_mean_x100_winsor,9,-0.039360378004304114
abs_tone_mean_x100_winsor,10,-0.04211272836437676
art_growth_winsor,-10,-0.0115521182887023
art_growth_winsor,-9,0.010502614790602053
art_growth_winsor,-8,-0.01877180050057189
art_growth_winsor,-7,-0.012121163079455577
art_growth_winsor,-6,-0.008319707956292834
art_growth_winsor,-5,0.008185192602758773
art_growth_winsor,-4,0.0112983666852091
art_growth_winsor,-3,-0.014450097131971758
art_growth_winsor,-2,-0.02044762558801265
art_growth_winsor,-1,-0.0022339719613330405
art_growth_winsor,0,0.00754551875533084
art_growth_winsor,1,-0.014826283302373792
art_growth_winsor,2,-0.017552469226577615
art_growth_winsor,3,0.012176555411713136
art_growth_winsor,4,-0.010708967191307426
art_growth_winsor,5,-0.008609793420903409
art_growth_winsor,6,-0.0045182737438815256
art_growth_winsor,7,-0.017752360132920492
art_growth_winsor,8,-0.00851616619028016
art_growth_winsor,9,-0.010805429374278601
art_growth_winsor,10,0.015114542101889278
